alternate,8,1024,40000,40000,0,0,6.56
alternate,8,1024,40000,40000,4000,4000,6.54
forward,8,4,40000,146,2,0,6.53
forward,8,4,40000,141,17,4000,6.53
align,8,4,40000,921,0,0,6.55
align,8,4,40000,911,86,4000,6.53
alternate,8,4,40000,11,5,0,6.56
alternate,8,4,40000,4,0,4000,6.53
forward,8,8,40000,378,0,0,6.54
forward,8,8,40000,142,16,4000,6.59
align,8,8,40000,1131,0,0,6.50
align,8,8,40000,1774,179,4000,6.55
alternate,8,8,40000,8,0,0,6.53
alternate,8,8,40000,8,0,4000,6.52
forward,8,16,40000,140,0,0,6.54
forward,8,16,40000,147,17,4000,6.55
align,8,16,40000,2643,0,0,6.50
align,8,16,40000,2576,261,4000,6.54
alternate,8,16,40000,34,0,0,6.56
alternate,8,16,40000,16,1,4000,6.54
forward,8,32,40000,83,0,0,6.54
forward,8,32,40000,136,15,4000,6.57
align,8,32,40000,4931,0,0,6.50
align,8,32,40000,5211,515,4000,6.55
alternate,8,32,40000,61,1,0,6.52
alternate,8,32,40000,32,3,4000,6.51
forward,8,64,40000,140,0,0,6.52
forward,8,64,40000,144,17,4000,6.55
align,8,64,40000,10197,0,0,6.55
align,8,64,40000,10128,1008,4000,6.56
alternate,8,64,40000,5543,0,0,6.51
alternate,8,64,40000,366,36,4000,6.58
forward,8,128,40000,148,0,0,6.53
forward,8,128,40000,254,28,4000,6.51
align,8,128,40000,18230,0,0,6.53
align,8,128,40000,20274,2023,4000,6.51
alternate,8,128,40000,3703,0,0,6.51
alternate,8,128,40000,128,12,4000,6.53
forward,8,256,40000,156,0,0,6.54
forward,8,256,40000,141,17,4000,6.52
align,8,256,40000,38012,0,0,6.52
align,8,256,40000,37824,3779,4000,6.53
alternate,8,256,40000,33340,1,0,6.54
alternate,8,256,40000,32236,3227,4000,6.51
forward,8,512,40000,153,0,0,6.51
forward,8,512,40000,146,17,4000,6.53
align,8,512,40000,39046,0,0,6.60
align,8,512,40000,40000,4000,4000,6.53
alternate,8,512,40000,40000,0,0,6.55
alternate,8,512,40000,40000,4000,4000,6.52
forward,8,1024,40000,295,0,0,6.51
forward,8,1024,40000,104,11,4000,6.56
align,8,1024,40000,40000,0,0,6.60
align,8,1024,40000,40000,4000,4000,6.53
alternate,8,1024,40000,39139,0,0,6.51
alternate,8,1024,40000,39139,3914,4000,6.60
forward,8,4,40000,138,0,0,6.50
forward,8,4,40000,116,10,4000,6.54
align,8,4,40000,1032,0,0,6.50
align,8,4,40000,906,77,4000,6.53
alternate,8,4,40000,773,0,0,6.54
alternate,8,4,40000,4,0,4000,6.54
forward,8,8,40000,140,0,0,6.51
forward,8,8,40000,143,19,4000,6.51
align,8,8,40000,1065,0,0,6.60
align,8,8,40000,1436,136,4000,6.51
alternate,8,8,40000,8,0,0,6.52
alternate,8,8,40000,20,0,4000,6.59
forward,8,16,40000,106,0,0,6.60
forward,8,16,40000,137,15,4000,6.51
align,8,16,40000,2288,0,0,6.57
align,8,16,40000,2777,269,4000,6.54
alternate,8,16,40000,16,0,0,6.55
alternate,8,16,40000,16,1,4000,6.53
forward,8,32,40000,148,1,0,6.51
forward,8,32,40000,116,11,4000,6.53
align,8,32,40000,5089,0,0,6.53
align,8,32,40000,4190,417,4000,6.53
alternate,8,32,40000,32,0,0,6.54
alternate,8,32,40000,32,3,4000,6.52
forward,8,64,40000,146,0,0,6.58
forward,8,64,40000,144,18,4000,6.51
align,8,64,40000,8845,0,0,6.56
align,8,64,40000,10025,1002,4000,6.51
alternate,8,64,40000,113,0,0,6.51
