type,shm_bufsize,arbiter_bufsize,primes_num,checked,errnum,errgen,time
alternate,8,128,40000,7849,0,0,6.10
alternate,8,128,40000,160,15,4000,6.06
alternate,8,16,40000,16,0,0,6.11
alternate,8,16,40000,16,1,4000,6.05
alternate,8,16,40000,16,0,0,6.06
alternate,8,16,40000,16,1,4000,6.10
alternate,8,16,40000,16,0,0,6.02
alternate,8,16,40000,16,1,4000,6.05
alternate,8,16,40000,32,0,0,6.10
alternate,8,16,40000,190,17,4000,6.08
alternate,8,16,40000,16,0,0,6.03
alternate,8,16,40000,535,54,4000,6.01
alternate,8,16,40000,1365,1,0,6.06
alternate,8,16,40000,67,5,4000,6.09
alternate,8,16,40000,452,2,0,6.02
alternate,8,16,40000,175,18,4000,6.03
alternate,8,16,40000,1371,0,0,6.01
alternate,8,16,40000,16,1,4000,6.01
alternate,8,16,40000,441,0,0,6.02
alternate,8,16,40000,299,31,4000,6.11
alternate,8,16,40000,3061,0,0,6.03
alternate,8,16,40000,16,1,4000,6.17
alternate,8,16,40000,2006,1,0,6.07
alternate,8,16,40000,18,2,4000,6.04
alternate,8,256,40000,35212,0,0,6.01
alternate,8,256,40000,33859,3387,4000,6.07
alternate,8,256,40000,36390,0,0,6.02
alternate,8,256,40000,32512,3256,4000,6.03
alternate,8,256,40000,35046,0,0,6.02
alternate,8,256,40000,33965,3401,4000,6.02
alternate,8,256,40000,32379,0,0,6.02
alternate,8,256,40000,32232,3228,4000,6.02
alternate,8,256,40000,32239,0,0,6.01
alternate,8,256,40000,26222,2624,4000,6.09
alternate,8,256,40000,25719,0,0,6.10
alternate,8,256,40000,32528,3256,4000,6.02
alternate,8,256,40000,21282,0,0,6.04
alternate,8,256,40000,32232,3228,4000,6.03
alternate,8,256,40000,20795,0,0,6.06
alternate,8,256,40000,34461,3448,4000,6.05
alternate,8,256,40000,32960,0,0,6.02
alternate,8,256,40000,28043,2809,4000,6.11
alternate,8,256,40000,35138,0,0,6.01
alternate,8,256,40000,32232,3228,4000,6.09
alternate,8,256,40000,26225,0,0,6.05
alternate,8,256,40000,33472,3350,4000,6.03
alternate,8,32,40000,96,1,0,6.06
alternate,8,32,40000,59,5,4000,6.02
alternate,8,32,40000,1027,2,0,6.03
alternate,8,32,40000,132,13,4000,6.02
alternate,8,32,40000,324,0,0,6.07
alternate,8,32,40000,32,3,4000,6.00
alternate,8,32,40000,32,0,0,6.06
alternate,8,32,40000,2098,210,4000,6.02
alternate,8,32,40000,32,0,0,6.06
alternate,8,32,40000,32,3,4000,6.07
alternate,8,32,40000,241,0,0,6.02
alternate,8,32,40000,345,33,4000,6.08
alternate,8,32,40000,444,0,0,6.02
alternate,8,32,40000,102,10,4000,6.03
alternate,8,32,40000,963,0,0,6.06
alternate,8,32,40000,3576,355,4000,6.01
alternate,8,32,40000,587,0,0,6.02
alternate,8,32,40000,425,43,4000,6.04
