benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-maxmem-mon,vamos-eventsnum,vamos-dropped,vamos-holes
safe033_tso.i , 0,0.0,0.0,0.52,18892,0,0.43,0.03,0.46,50244,0,0.0,0.0,0.16,1728,3408,21,0,0
safe034_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.i , 0,0.01,0.0,0.52,18892,0,0.45,0.01,0.47,50244,0,0.0,0.0,0.16,1792,3540,45,0,0
safe034_tso.i , 0,0.0,0.0,0.51,19140,0,0.44,0.02,0.46,50512,0,0.0,0.0,0.16,1908,3476,36,0,0
safe035_power.i , 0,0.01,0.0,0.52,19072,0,0.44,0.02,0.47,50264,0,0.0,0.0,0.16,1796,3440,77,0,0
safe035_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.01,0.51,18888,0,0.43,0.03,0.47,50244,0,0.0,0.0,0.16,1744,3528,36,0,0
safe036.i , 0,0.0,0.0,0.52,18852,0,0.45,0.01,0.47,50240,0,0.0,0.0,0.16,1756,3508,21,0,0
safe037.i , 0,0.0,0.0,0.13,19720,0,0.45,0.01,0.47,50244,0,0.0,0.0,0.16,1748,3412,36,0,0
safestack_relacy.i , 1,0.0,0.01,0.52,19384,2,0.44,0.02,0.47,50524,16,0.0,0.0,0.04,1748,3496,180,0,0
scull.i , 3,0.0,0.01,0.52,19424,16,0.45,0.01,0.47,50524,16,0.0,0.0,0.04,1812,3680,40,0,0
sigma-s.i , 0,0.0,0.0,0.01,18624,0,0.45,0.01,0.47,50244,0,0.0,0.0,0.04,1720,3476,14,0,0
singleton-b.i , 1,0.0,0.0,0.44,19440,2,0.45,0.01,0.47,49788,3,0.0,0.0,0.04,1924,3684,29,0,0
singleton.i , 0,0.0,0.0,0.01,18852,0,0.46,0.01,0.47,49784,0,0.0,0.0,0.04,1760,3504,37,0,0
singleton_with-uninit-problems-b.i , 1,0.0,0.0,0.45,19640,2,0.45,0.01,0.47,50532,3,0.0,0.0,0.04,1800,3604,29,0,0
singleton_with-uninit-problems.i , 0,0.0,0.0,0.01,18996,0,0.44,0.03,0.47,49812,0,0.0,0.0,0.04,1776,3744,37,0,0
stack-1.i , 0,0.0,0.01,0.01,18860,0,0.44,0.02,0.46,50256,0,0.0,0.0,0.04,1720,3608,56,0,0
stack-2.i , 0,0.0,0.01,0.01,18736,0,0.45,0.01,0.47,50240,0,0.0,0.0,0.04,1764,3428,66,0,0
stack_longer-1.i , 0,0.0,0.01,0.01,18856,0,0.45,0.02,0.48,50240,0,0.0,0.0,0.16,1708,3584,306,0,0
stack_longer-2.i , 0,0.01,0.0,0.01,18892,0,0.46,0.01,0.48,50260,0,0.0,0.0,0.04,1800,4320,3406,0,0
stack_longest-1.i , 0,0.0,0.0,0.01,19176,0,0.47,0.02,0.49,50240,0,0.0,0.0,0.04,1720,4484,9606,4896,3
stack_longest-2.i , 0,0.0,0.0,0.01,19180,0,0.46,0.02,0.49,50260,0,0.0,0.0,0.04,1748,4824,7432,2984,2
stateful01-1.i , 0,0.0,0.01,0.13,19700,0,0.46,0.02,0.6,50512,0,0.0,0.0,0.16,1820,3652,22,0,0
stateful01-2.i , 0,0.0,0.01,0.01,18764,0,0.45,0.01,0.46,50516,0,0.0,0.0,0.04,1732,3508,21,0,0
szymanski-b.i , 2,0.0,0.0,0.52,19256,3,0.45,0.01,0.47,49788,12,0.0,0.0,0.04,1808,3472,16,0,0
thin002_power.oepc.i , 0,0.0,0.01,0.52,18840,0,0.44,0.03,0.47,50528,0,0.0,0.0,0.16,1776,3564,61,0,0
thin002_power.opt.i , 0,0.0,0.0,0.52,19100,0,0.43,0.03,0.47,49820,0,0.0,0.0,0.16,1780,3540,67,0,0
thin002_pso.oepc_pso.opt_tso.oepc_tso.opt.i , 0,0.0,0.01,0.51,18944,0,0.43,0.03,0.47,50260,0,0.0,0.0,0.16,1800,3544,45,0,0
thin002_rmo.i , 0,0.0,0.0,0.52,19096,0,0.45,0.01,0.47,50260,0,0.0,0.0,0.16,1780,3700,56,0,0
time_var_mutex.i , 0,0.0,0.0,0.01,18740,0,0.43,0.03,0.47,50244,0,0.0,0.0,0.04,1716,3584,19,0,0
tls_basic.i , 0,0.0,0.0,0.01,18572,0,0.44,0.02,0.46,50520,0,0.0,0.0,0.04,1728,3568,11,0,0
tls_destructor_worker.i , 0,0.0,0.0,0.13,19544,0,0.45,0.01,0.59,50508,0,0.0,0.0,0.16,1760,3432,4,0,0
triangular-1.i , 0,0.0,0.0,0.52,19144,0,0.46,0.02,0.48,50516,0,0.0,0.0,0.04,1884,3580,28,0,0
triangular-2.i , 0,0.0,0.01,0.52,19168,0,0.46,0.02,0.48,50520,0,0.0,0.0,0.04,1864,3508,28,0,0
triangular-longer-1.i , 0,0.0,0.01,0.52,19284,0,0.47,0.01,0.48,50240,0,0.0,0.0,0.04,1920,3644,48,0,0
triangular-longer-2.i , 0,0.0,0.0,0.51,19340,0,0.47,0.01,0.48,50244,0,0.0,0.0,0.04,2040,3404,48,0,0
triangular-longest-1.i , 0,0.0,0.0,0.52,19284,0,0.46,0.01,0.48,50244,0,0.0,0.0,0.04,1860,3412,88,0,0
triangular-longest-2.i , 0,0.0,0.0,0.52,19172,0,0.46,0.02,0.48,50244,0,0.0,0.0,0.04,1920,3412,88,0,0
twostage_3-2.i , 1,0.0,0.0,0.52,19272,1,0.44,0.02,0.47,49812,1,0.0,0.0,0.04,1908,3632,52,0,0
twostage_3.i , 1,0.0,0.01,0.52,19288,1,0.45,0.01,0.47,49812,1,0.0,0.0,0.04,1748,3552,54,0,0
workstealqueue_mutex-1.i , 0,0.0,0.0,0.13,19848,0,0.46,0.02,0.6,50268,0,0.0,0.0,0.16,1840,3364,89,0,0
workstealqueue_mutex-2.i , 0,0.0,0.01,0.13,19828,0,0.46,0.01,0.6,50268,0,0.0,0.0,0.16,1792,3484,88,0,0
airline-10.i , 1,0.0,0.01,0.52,19424,1,0.45,0.01,0.47,50524,36,0.0,0.0,0.04,1852,3556,90,0,0
airline-15.i , 1,0.01,0.0,0.53,19528,1,0.44,0.03,0.47,50524,56,0.0,0.0,0.04,1828,3656,130,0,0
airline-20.i , 1,0.0,0.01,0.52,19756,2,0.44,0.03,0.48,50524,76,0.0,0.0,0.04,1948,3796,166,0,0
airline-25.i , 1,0.0,0.01,0.53,19724,2,0.45,0.03,0.48,50524,96,0.0,0.0,0.04,1952,3940,206,0,0
airline-5.i , 1,0.0,0.0,0.52,19408,1,0.44,0.02,0.47,50524,16,0.0,0.0,0.04,1784,3532,50,0,0
bigshot_p.i , 2,0.0,0.0,0.52,19296,2,0.45,0.01,0.46,50532,8,0.0,0.0,0.04,1720,3516,11,0,0
bigshot_s.i , 0,0.0,0.0,0.01,18552,0,0.44,0.02,0.46,50532,0,0.0,0.0,0.04,1776,3516,11,0,0
bigshot_s2.i , 0,0.0,0.0,0.01,18676,0,0.44,0.02,0.47,49788,0,0.0,0.0,0.04,1772,3384,11,0,0
circular_buffer_bad.i , 0,0.0,0.0,0.01,18852,0,0.45,0.01,0.47,50508,0,0.0,0.0,0.04,1736,3600,66,0,0
circular_buffer_ok.i , 0,0.0,0.01,0.01,18792,0,0.44,0.02,0.47,50244,0,0.0,0.0,0.04,1788,3488,68,0,0
condvar.i , 2,0.0,0.0,0.51,19132,1,0.45,0.02,0.47,49820,5,0.0,0.0,0.04,1744,3384,9,0,0
dekker-b.i , 2,0.0,0.0,0.52,19056,5,0.45,0.01,0.46,50524,16,0.0,0.0,0.04,1748,3500,17,0,0
dekker.i , 0,0.0,0.0,0.01,18856,0,0.44,0.02,0.46,49796,0,0.0,0.0,0.04,1744,3408,33,0,0
divinefifo-bug_1w1r.i , 15,0.0,0.01,0.53,19368,7,0.45,0.01,0.47,50260,956,0.0,0.0,0.04,1744,3528,448,0,0
divinefifo_1w1r.i , 15,0.02,0.0,0.53,19296,6,0.44,0.02,0.47,50260,876,0.0,0.0,0.04,1740,3584,428,0,0
elimination_backoff_stack.i , 0,0.0,0.01,0.13,19732,0,0.44,0.02,0.58,50268,0,0.0,0.0,0.16,1764,3676,35,0,0
fib_safe-12-racy.i , 2,0.0,0.0,0.52,19204,2,0.45,0.01,0.47,49820,4,0.0,0.0,0.04,1772,3404,75,0,0
fib_safe-12.i , 0,0.0,0.0,0.52,18940,0,0.44,0.02,0.46,50260,0,0.0,0.0,0.04,1808,3420,77,0,0
fib_unsafe-12-racy.i , 2,0.0,0.01,0.52,19148,2,0.44,0.02,0.47,49820,8,0.0,0.0,0.04,1724,3488,75,0,0
fib_unsafe-12.i , 0,0.0,0.0,0.52,19048,0,0.44,0.02,0.46,50260,0,0.0,0.0,0.04,1768,3660,77,0,0
fillarray.i , 0,0.01,0.0,0.01,18128,0,0.44,0.01,0.46,50244,0,0.0,0.0,0.04,1580,3228,1,0,0
fillarray1.i , 0,0.0,0.01,0.01,18104,0,0.43,0.02,0.45,50512,0,0.0,0.0,0.04,1620,3296,1,0,0
fk2012.i , 0,0.0,0.0,0.13,19844,TO,None,None,None,None,0,0.0,0.0,0.16,1784,3452,606,0,0
fkp2013-1.i , 1,0.0,0.01,0.53,19980,2,0.45,0.02,0.48,49800,200,0.0,0.0,0.04,2180,4320,102,0,0
fkp2013-2.i , 1,0.0,0.01,0.53,19872,2,0.45,0.03,0.47,49804,200,0.0,0.0,0.04,2192,4376,102,0,0
fkp2013_variant-1.i , 0,0.0,0.01,0.13,19128,0,0.42,0.02,0.57,50260,0,0.0,0.0,0.16,1700,3348,3,0,0
fkp2013_variant-2.i , 0,0.0,0.0,0.13,19124,0,0.44,0.0,0.57,50260,0,0.0,0.0,0.16,1616,3464,3,0,0
fkp2014.i , 0,0.0,0.0,0.13,19116,0,0.43,0.02,0.57,50244,0,0.0,0.0,0.16,1688,3296,1,0,0
floating_read-10.i , 1,0.0,0.0,0.52,19496,1,0.45,0.02,0.47,50504,16,0.0,0.0,0.04,1812,3732,64,0,0
floating_read-15.i , 1,0.0,0.01,0.52,19616,1,0.44,0.03,0.47,50508,16,0.0,0.0,0.04,1828,3732,94,0,0
floating_read-20.i , 1,0.0,0.01,0.52,19616,1,0.45,0.02,0.47,50504,16,0.0,0.0,0.04,1912,3968,124,0,0
floating_read-25.i , 1,0.0,0.01,0.52,19720,1,0.45,0.02,0.48,50508,16,0.0,0.0,0.04,1996,3944,154,0,0
floating_read-5.i , 1,0.0,0.0,0.52,19212,1,0.45,0.02,0.47,50252,16,0.0,0.0,0.04,1768,3396,34,0,0
indexer.i , 1,0.0,0.01,0.52,19788,1,0.47,0.02,0.5,50516,92,0.0,0.0,0.04,2012,3744,309,0,0
lamport-b.i , 3,0.0,0.0,0.52,19264,2,0.44,0.02,0.46,49788,16,0.0,0.0,0.04,1780,3472,16,0,0
lamport.i , 0,0.0,0.0,0.01,18788,0,0.45,0.01,0.47,50520,0,0.0,0.0,0.04,1720,3412,50,0,0
lazy01.i , 0,0.0,0.01,0.13,19788,0,0.45,0.02,0.6,50520,0,0.0,0.0,0.16,1856,3604,16,0,0
list1.i , 0,0.0,0.0,0.01,18924,0,0.47,0.01,0.49,49824,0,0.0,0.0,0.04,1880,3408,8,0,0
mix000.oepc.i , 0,0.0,0.01,0.51,18860,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1908,3608,51,0,0
mix000.opt.i , 0,0.0,0.0,0.52,18884,0,0.44,0.02,0.46,50268,0,0.0,0.0,0.16,1772,3480,32,0,0
mix001.oepc.i , 0,0.0,0.01,0.52,19144,0,0.45,0.01,0.47,49804,0,0.0,0.0,0.16,1780,3440,78,0,0
mix001.opt.i , 0,0.0,0.0,0.13,19608,0,0.45,0.02,0.46,50528,0,0.0,0.0,0.16,1764,3560,49,0,0
mix002.oepc.i , 0,0.0,0.01,0.52,18976,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1816,3456,71,0,0
mix002.opt.i , 0,0.0,0.0,0.52,18960,0,0.43,0.03,0.46,50532,0,0.0,0.0,0.16,1772,3448,52,0,0
mix003.oepc.i , 0,0.0,0.0,0.52,18972,0,0.43,0.03,0.46,50528,0,0.0,0.0,0.16,1796,3556,64,0,0
mix003_power.opt_pso.opt_rmo.opt_tso.opt.i , 0,0.0,0.0,0.52,18964,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1788,3452,45,0,0
mix004.oepc.i , 0,0.0,0.0,0.52,19096,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1792,3644,87,0,0
mix004.opt.i , 0,0.0,0.0,0.52,18984,0,0.46,0.01,0.47,50528,0,0.0,0.0,0.16,1824,3520,58,0,0
mix005.opt.i , 0,0.0,0.01,0.52,18984,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1796,3468,57,0,0
mix005_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.51,18976,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1692,3520,86,0,0
mix005_tso.oepc.i , 0,0.0,0.01,0.52,18928,0,0.45,0.01,0.47,49804,0,0.0,0.0,0.16,1748,3524,86,0,0
mix006.opt.i , 0,0.0,0.01,0.52,18896,0,0.44,0.02,0.47,50536,0,0.0,0.0,0.16,1772,3688,44,0,0
mix006_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18920,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1740,3548,63,0,0
mix006_tso.oepc.i , 0,0.0,0.01,0.52,18964,0,0.45,0.01,0.47,50524,0,0.0,0.0,0.16,1792,3564,82,0,0
mix007.oepc.i , 0,0.0,0.0,0.52,18904,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1752,3560,86,0,0
mix007.opt.i , 0,0.0,0.0,0.52,18932,0,0.44,0.02,0.47,50528,0,0.0,0.0,0.16,1740,3520,57,0,0
mix008.opt.i , 0,0.0,0.0,0.52,18980,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1784,3560,56,0,0
mix008_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.13,19896,0,0.44,0.02,0.47,49800,0,0.0,0.0,0.16,1676,3704,85,0,0
mix008_tso.oepc.i , 0,0.0,0.0,0.52,18884,0,0.46,0.0,0.47,50528,0,0.0,0.0,0.16,1928,3660,96,0,0
mix009.oepc.i , 0,0.0,0.01,0.52,19056,0,0.45,0.01,0.46,50268,0,0.0,0.0,0.16,1772,3524,44,0,0
mix009.opt.i , 0,0.0,0.0,0.52,19044,0,0.45,0.01,0.46,50512,0,0.0,0.0,0.16,1784,3432,35,0,0
mix010.oepc.i , 0,0.0,0.0,0.52,18908,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1776,3412,67,0,0
mix010.opt.i , 0,0.0,0.0,0.52,18972,0,0.45,0.01,0.47,50528,0,0.0,0.0,0.16,1824,3516,48,0,0
mix011.opt.i , 0,0.0,0.0,0.52,18968,0,0.43,0.03,0.47,50528,0,0.0,0.0,0.16,1764,3556,47,0,0
mix011_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18888,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1788,3448,66,0,0
mix011_tso.oepc.i , 0,0.0,0.0,0.52,18932,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1820,3448,66,0,0
mix012_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.i , 0,0.0,0.0,0.52,18976,0,0.45,0.02,0.47,50244,0,0.0,0.0,0.16,1756,3524,37,0,0
mix012_pso.opt_tso.opt.i , 0,0.0,0.01,0.52,19124,0,0.43,0.03,0.47,50256,0,0.0,0.0,0.16,1768,3428,28,0,0
mix013.oepc.i , 0,0.0,0.0,0.52,18848,0,0.44,0.02,0.47,50512,0,0.0,0.0,0.16,1776,3516,87,0,0
mix013.opt.i , 0,0.01,0.0,0.51,19044,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1768,3464,58,0,0
mix014.opt.i , 0,0.0,0.0,0.52,18980,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1676,3560,57,0,0
mix014_power.oepc_pso.oepc_rmo.oepc.i , 0,0.01,0.0,0.51,19088,0,0.45,0.01,0.47,49804,0,0.0,0.0,0.16,1928,3468,86,0,0
mix014_tso.oepc.i , 0,0.0,0.01,0.52,18920,0,0.44,0.02,0.47,50252,0,0.0,0.0,0.16,1752,3476,127,0,0
mix015.oepc.i , 0,0.0,0.01,0.51,18896,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1760,3512,67,0,0
mix015.opt.i , 0,0.0,0.01,0.52,18900,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1760,3448,48,0,0
mix016.oepc.i , 0,0.0,0.0,0.51,18960,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1776,3444,60,0,0
mix016_power.opt_rmo.opt.i , 0,0.0,0.01,0.52,18896,0,0.44,0.02,0.46,50512,0,0.0,0.0,0.16,1912,3700,61,0,0
mix016_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,18968,0,0.45,0.01,0.47,50228,0,0.0,0.0,0.16,1780,3684,41,0,0
mix017.oepc.i , 0,0.0,0.01,0.52,19004,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1804,3556,83,0,0
mix017_power.opt_rmo.opt.i , 0,0.01,0.0,0.52,19176,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1748,3464,76,0,0
mix017_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19128,0,0.46,0.0,0.47,50528,0,0.0,0.0,0.16,1812,3464,54,0,0
mix018.opt.i , 0,0.0,0.01,0.52,19008,0,0.44,0.02,0.46,50528,0,0.0,0.0,0.16,1776,3440,53,0,0
mix018_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19052,0,0.45,0.01,0.47,50524,0,0.0,0.0,0.16,1772,3404,82,0,0
mix018_tso.oepc.i , 0,0.0,0.01,0.52,19012,0,0.43,0.03,0.46,49552,0,0.0,0.0,0.16,1744,3516,82,0,0
mix019.opt.i , 0,0.0,0.0,0.51,18960,0,0.45,0.01,0.46,50532,0,0.0,0.0,0.16,1824,3532,40,0,0
mix019_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19024,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1792,3440,59,0,0
mix019_tso.oepc.i , 0,0.01,0.0,0.52,19068,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1764,3532,59,0,0
mix020.oepc.i , 0,0.0,0.0,0.52,18924,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1784,3396,82,0,0
mix020.opt.i , 0,0.0,0.0,0.51,18996,0,0.44,0.02,0.46,50532,0,0.0,0.0,0.16,1840,3460,53,0,0
mix021.opt.i , 0,0.0,0.0,0.52,19024,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1776,3504,52,0,0
mix021_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.51,18912,0,0.43,0.03,0.46,49552,0,0.0,0.0,0.16,1812,3640,81,0,0
mix021_tso.oepc.i , 0,0.0,0.0,0.52,19120,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1848,3644,73,0,0
mix022_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.i , 0,0.0,0.0,0.52,18976,0,0.44,0.02,0.47,50264,0,0.0,0.0,0.16,1756,3356,36,0,0
mix022_tso.i , 0,0.0,0.0,0.52,19076,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1756,3420,26,0,0
mix023_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18832,0,0.46,0.0,0.47,49804,0,0.0,0.0,0.16,1752,3704,85,0,0
mix023_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,18832,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1832,3400,78,0,0
mix023_tso.i , 0,0.0,0.01,0.52,18908,0,0.44,0.03,0.47,50256,0,0.0,0.0,0.16,1788,3584,103,0,0
mix024_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.51,19000,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1764,3692,66,0,0
mix024_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.01,0.51,18992,0,0.45,0.02,0.47,50228,0,0.0,0.0,0.16,1796,3508,67,0,0
mix025_power.oepc_power.opt_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.51,18996,0,0.45,0.02,0.47,50252,0,0.0,0.0,0.16,1764,3496,59,0,0
mix025_pso.opt_rmo.opt.i , 0,0.0,0.01,0.52,18980,0,0.44,0.02,0.46,50520,0,0.0,0.0,0.16,1680,3548,60,0,0
mix026.oepc.i , 0,0.0,0.0,0.52,18908,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1920,3568,82,0,0
mix026_power.opt_tso.opt.i , 0,0.0,0.0,0.52,19068,0,0.46,0.01,0.47,50532,0,0.0,0.0,0.16,1792,3464,83,0,0
mix026_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,19104,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1812,3712,75,0,0
mix027_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,19196,0,0.43,0.03,0.47,49552,0,0.0,0.0,0.16,1692,3556,81,0,0
mix027_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,19040,0,0.46,0.01,0.47,50532,0,0.0,0.0,0.16,1812,3432,74,0,0
mix027_tso.i , 0,0.0,0.0,0.52,18996,0,0.44,0.02,0.47,49800,0,0.0,0.0,0.16,1784,3460,81,0,0
mix028_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18884,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1816,3496,58,0,0
mix028_power.opt_pso.opt_rmo.opt.i , 0,0.01,0.0,0.51,18952,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1680,3616,58,0,0
mix028_tso.i , 0,0.0,0.0,0.52,19016,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1768,3400,38,0,0
mix029_power.oepc_pso.oepc_rmo.oepc_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,19032,0,0.44,0.02,0.46,49552,0,0.0,0.0,0.16,1792,3456,62,0,0
mix029_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.51,18840,0,0.45,0.02,0.47,50532,0,0.0,0.0,0.16,1920,3704,73,0,0
mix030_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19088,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1768,3460,80,0,0
mix030_power.opt_pso.opt_rmo.opt.i , 0,0.0,0.0,0.52,19084,0,0.46,0.0,0.47,50532,0,0.0,0.0,0.16,1740,3564,72,0,0
mix030_tso.i , 0,0.0,0.0,0.51,18992,0,0.45,0.02,0.47,50516,0,0.0,0.0,0.16,1796,3700,50,0,0
mix031.oepc.i , 0,0.0,0.01,0.52,19040,0,0.44,0.02,0.46,50268,0,0.0,0.0,0.16,1756,3532,44,0,0
mix031.opt.i , 0,0.0,0.01,0.52,18800,0,0.44,0.02,0.46,50264,0,0.0,0.0,0.16,1760,3428,35,0,0
mix032.oepc.i , 0,0.0,0.0,0.52,19084,0,0.46,0.01,0.47,50528,0,0.0,0.0,0.16,1788,3560,67,0,0
mix032.opt.i , 0,0.0,0.01,0.52,19032,0,0.45,0.02,0.47,49820,0,0.0,0.0,0.16,1768,3632,48,0,0
mix033.opt.i , 0,0.01,0.0,0.52,19044,0,0.44,0.02,0.47,50268,0,0.0,0.0,0.16,1744,3452,47,0,0
mix033_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18804,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1912,3452,66,0,0
mix033_tso.oepc.i , 0,0.0,0.0,0.52,18896,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1804,3516,66,0,0
mix034_power.oepc_power.opt_pso.oepc_rmo.oepc_rmo.opt_tso.oepc.i , 0,0.0,0.0,0.52,18780,0,0.44,0.02,0.46,50244,0,0.0,0.0,0.16,1664,3608,37,0,0
mix034_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,18928,0,0.45,0.01,0.47,50512,0,0.0,0.0,0.16,1752,3424,28,0,0
mix035.oepc.i , 0,0.0,0.0,0.51,19084,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1780,3444,60,0,0
mix035_power.opt_rmo.opt.i , 0,0.0,0.01,0.52,19032,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1780,3628,61,0,0
mix035_pso.opt_tso.opt.i , 0,0.0,0.0,0.13,19776,0,0.45,0.02,0.47,50248,0,0.0,0.0,0.16,1760,3512,41,0,0
mix036.oepc.i , 0,0.0,0.01,0.52,19132,0,0.44,0.03,0.47,50516,0,0.0,0.0,0.16,1804,3468,83,0,0
mix036_power.opt_rmo.opt.i , 0,0.01,0.0,0.52,18976,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1792,3476,76,0,0
mix036_pso.opt_tso.opt.i , 0,0.0,0.01,0.52,19000,0,0.43,0.03,0.46,50516,0,0.0,0.0,0.16,1792,3708,54,0,0
mix037.opt.i , 0,0.0,0.0,0.52,19056,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1852,3460,53,0,0
mix037_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18988,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1852,3396,82,0,0
mix037_tso.oepc.i , 0,0.0,0.0,0.52,18904,0,0.44,0.02,0.47,49804,0,0.0,0.0,0.16,1788,3464,82,0,0
mix038.opt.i , 0,0.0,0.0,0.52,18956,0,0.45,0.01,0.47,50260,0,0.0,0.0,0.16,1788,3444,40,0,0
mix038_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,18948,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1804,3444,59,0,0
mix038_tso.oepc.i , 0,0.0,0.01,0.52,18884,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1768,3444,59,0,0
mix039.oepc.i , 0,0.0,0.0,0.52,19048,0,0.45,0.01,0.47,50516,0,0.0,0.0,0.16,1792,3640,82,0,0
mix039.opt.i , 0,0.0,0.01,0.52,19048,0,0.44,0.02,0.47,50516,0,0.0,0.0,0.16,1688,3552,53,0,0
mix040.opt.i , 0,0.0,0.0,0.52,18992,0,0.46,0.0,0.47,50516,0,0.0,0.0,0.16,1768,3396,52,0,0
mix040_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.51,18836,0,0.44,0.02,0.47,50520,0,0.0,0.0,0.16,1804,3644,81,0,0
mix040_tso.oepc.i , 0,0.0,0.01,0.51,19096,0,0.44,0.02,0.47,50536,0,0.0,0.0,0.16,1792,3404,73,0,0
mix041_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.52,19168,0,0.44,0.02,0.47,50260,0,0.0,0.0,0.16,1904,3420,36,0,0
mix041_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.i , 0,0.0,0.0,0.52,18780,0,0.45,0.01,0.47,50260,0,0.0,0.0,0.16,1832,3516,26,0,0
