benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-maxmem-mon,vamos-eventsnum,vamos-dropped,vamos-holes
mix016_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19148,0,0.45,0.01,0.47,50228,0,0.0,0.0,0.16,1804,3664,41,0,0
mix017.oepc.i , 0,0.0,0.01,0.52,19152,0,0.44,0.03,0.47,50516,0,0.0,0.0,0.16,1780,3528,83,0,0
mix017_power.opt_rmo.opt.i , 0,0.0,0.0,0.52,19056,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1784,3440,76,0,0
mix017_pso.opt_tso.opt.i , 0,0.0,0.0,0.52,19192,0,0.43,0.03,0.47,50532,0,0.0,0.0,0.16,1688,3460,54,0,0
mix018.opt.i , 0,0.0,0.0,0.52,18920,0,0.45,0.01,0.46,50532,0,0.0,0.0,0.16,1780,3452,53,0,0
mix018_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.01,0.52,18904,0,0.45,0.02,0.47,50528,0,0.0,0.0,0.16,1852,3456,82,0,0
mix018_tso.oepc.i , 0,0.0,0.0,0.52,18960,0,0.45,0.02,0.47,49548,0,0.0,0.0,0.16,1792,3648,82,0,0
mix019.opt.i , 0,0.0,0.0,0.51,19072,0,0.44,0.02,0.46,50532,0,0.0,0.0,0.16,1916,3492,40,0,0
mix019_power.oepc_pso.oepc_rmo.oepc.i , 0,0.0,0.0,0.13,19864,0,0.45,0.01,0.47,50532,0,0.0,0.0,0.16,1920,3444,59,0,0
mix019_tso.oepc.i , 0,0.0,0.01,0.52,19080,0,0.44,0.02,0.47,50536,0,0.0,0.0,0.16,1912,3436,59,0,0
mix020.oepc.i , 0,0.01,0.0,0.52,19060,0,0.45,0.02,0.47,50516,0,0.0,0.0,0.16,1856,3396,82,0,0
mix020.opt.i , 0,0.0,0.0,0.52,19100,0,0.44,0.02,0.46,50536,0,0.0,0.0,0.16,1776,3556,53,0,0
mix021.opt.i , 0,0.0,0.01,0.52,19012,0,0.44,0.02,0.47,50532,0,0.0,0.0,0.16,1808,3640,52,0,0
