benchmark,tsan-races,tsan-usertime,tsan-systime,tsan-time,tsan-maxmem,helgrind-races,helgrind-usertime,helgrind-systime,helgrind-time,helgrind-maxmem,vamos-races,vamos-usertime,vamos-systime,vamos-time,vamos-maxmem,vamos-eventsnum,vamos-dropped,vamos-holes
fib_safe-6-racy.i , 2,0.0,0.0,0.14,23632,2,0.23,0.01,0.25,61692,1,0.0,0.0,0.04,1836,145,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,23300,2,0.23,0.01,0.25,61692,1,0.0,0.0,0.04,3864,145,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,23480,2,0.23,0.01,0.25,61696,2,0.0,0.0,0.04,3856,145,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,23428,2,0.22,0.02,0.25,61692,7,0.0,0.0,0.04,1696,145,0,0
fib_safe-6-racy.i , 2,0.0,0.0,0.14,22796,2,0.23,0.01,0.25,61692,1,0.0,0.0,0.04,3860,145,0,0
fib_safe-6.i , 0,0.0,0.01,1.14,23568,0,0.24,0.01,0.25,62120,2,0.0,0.0,0.04,1780,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,23248,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,1864,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,22720,0,0.23,0.01,0.25,62120,1,0.0,0.0,0.04,1704,119,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,22796,0,0.22,0.02,0.25,62120,2,0.0,0.0,0.04,1844,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,22560,0,0.23,0.02,0.25,62120,2,0.0,0.0,0.04,1896,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,23060,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,1788,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,22680,0,0.24,0.0,0.25,62120,2,0.0,0.0,0.04,1812,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,22264,0,0.23,0.02,0.25,62120,2,0.0,0.0,0.04,3860,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,22780,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,3976,145,0,0
fib_safe-6.i , 0,0.0,0.0,0.14,23568,0,0.23,0.01,0.25,62120,2,0.0,0.0,0.04,1840,145,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,23420,2,0.22,0.02,0.25,61692,2,0.0,0.0,0.04,1780,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,24104,2,0.22,0.02,0.25,61692,2,0.0,0.0,0.04,1864,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,23432,2,0.23,0.01,0.25,61688,2,0.0,0.0,0.04,1784,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,23676,2,0.23,0.02,0.25,61696,2,0.0,0.0,0.04,1840,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,23520,2,0.24,0.0,0.25,61692,2,0.0,0.0,0.04,1784,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,22916,2,0.24,0.0,0.25,61692,1,0.0,0.0,0.04,1796,135,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,23392,2,0.22,0.02,0.25,61692,2,0.0,0.0,0.04,1804,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,22816,2,0.24,0.01,0.25,61692,1,0.0,0.0,0.04,1960,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,23924,2,0.24,0.0,0.25,61692,8,0.0,0.0,0.04,1852,165,0,0
fib_safe-7-racy.i , 2,0.0,0.0,0.14,23536,2,0.24,0.0,0.25,61692,2,0.0,0.0,0.04,1812,165,0,0
fib_safe-7.i , 0,0.0,0.0,0.14,23560,0,0.22,0.02,0.25,62120,2,0.0,0.0,0.04,1776,165,0,0
fib_safe-7.i , 0,0.0,0.0,0.14,22924,0,0.24,0.0,0.25,62120,2,0.0,0.0,0.04,1808,165,0,0
fib_safe-7.i , 0,0.0,0.01,1.14,23496,0,0.24,0.01,0.25,62120,8,0.0,0.0,0.04,1856,165,0,0
