70,128,0,9956090,43910,21544,2.308070715982467
80,128,0,9997541,2459,25,2.608848822012078
90,128,0,9996415,3585,12,2.608607247006148
100,128,0,9995030,4970,23,2.9087558740284294
200,128,0,9998052,1948,49,4.710872507013846
0,256,28049243,3117245,6882755,902620,1.4040634860284626
10,256,7085335,3632794,6367206,920528,1.707544645993039
20,256,456760,3483564,6516436,937519,1.7078229389735498
30,256,0,3928186,6071814,1146262,1.7078390359529294
40,256,0,6544296,3455704,1236664,2.0080336580285802
50,256,0,6364470,3635530,1246717,2.0077200820087455
60,256,0,8033838,1966162,905866,2.3080643220455386
70,256,0,8424131,1575869,917662,2.3079741249675862
80,256,0,9997937,2063,39,2.608420656993985
90,256,0,9998045,1955,11,2.6088324440061115
100,256,0,9998149,1851,24,2.9091790769598447
200,256,0,9999811,189,3,4.711012323037721
0,512,27992000,3904408,6095592,967987,1.7046831310144626
10,512,7583093,3068253,6931747,866229,1.4073449309798889
20,512,0,2486483,7513517,979442,1.4071311939624138
30,512,0,5461930,4538070,1319127,2.0080232239561155
40,512,0,6616171,3383829,1161705,2.00802518700948
50,512,0,6173068,3826932,1318052,2.0077899859752506
60,512,0,8025356,1974644,972943,2.307872755045537
70,512,0,8748592,1251408,746726,2.3082490829983726
80,512,0,9998730,1270,8,2.6085751820355654
90,512,0,9998904,1096,5,2.6088181129889563
100,512,0,9999685,315,3,2.908631892001722
200,512,0,10000000,0,0,4.710970379994251
0,1024,24789473,2882084,7117916,918431,1.4042351809912361
10,1024,5859174,2450249,7549751,789293,1.4071491439826787
20,1024,105,3106861,6893139,957620,1.4069097869796678
30,1024,0,4157314,5842686,1189049,1.7076687350054272
40,1024,0,5065649,4934351,1510069,2.008137519005686
50,1024,0,6549702,3450298,1221744,2.0081521610263735
60,1024,0,8253141,1746859,814677,2.308391377038788
70,1024,0,10000000,0,0,2.3081420120433904
80,1024,0,10000000,0,0,2.6084477939875796
90,1024,0,10000000,0,0,2.6084625640069135
100,1024,0,10000000,0,0,2.908866212994326
200,1024,0,10000000,0,0,4.710985034995247
0,4,44161698,2990612,7009388,944940,1.7047476900042966
10,4,29268877,3111729,6888271,834796,1.7072504550451413
20,4,1789725,2015755,7984245,726749,1.4069498530006967
30,4,6379078,2997711,7002289,973615,1.7076312439749017
40,4,0,3756013,6243987,1324451,2.0080240899696946
50,4,0,3915045,6084955,1336849,2.0076363409752958
60,4,0,4924073,5075927,1595892,2.0079167599906214
70,4,0,5310120,4689880,1758762,2.3080738760181703
80,4,0,8415067,1584933,892489,2.6084703829837963
90,4,0,8036822,1963178,1159297,2.6084105350309983
100,4,0,9948230,51770,34019,2.9087307089939713
200,4,0,9990175,9825,162,4.710865913017187
0,8,30064123,3304130,6695870,923598,1.704749283962883
10,8,27580943,3735537,6264463,885413,1.7076911680051126
20,8,10926450,3113185,6886815,872433,1.7074082809849642
30,8,3922106,3217669,6782331,1002493,1.7073765420354903
40,8,1651910,4913772,5086228,1279454,2.007887383981142
50,8,536648,4574950,5425050,1372945,2.007726300973445
60,8,0,6047973,3952027,1417298,2.007764868962113
70,8,0,7267980,2732020,1258293,2.3083225050359033
80,8,0,9958097,41903,20013,2.6089618990081362
90,8,0,9760800,239200,130752,2.608875539037399
100,8,0,9993080,6920,128,2.909093160997145
200,8,0,9988245,11755,250,4.710689125990029
0,16,64673639,4656290,5343710,932531,1.7046472569927573
10,16,15397570,3326845,6673155,901041,1.7073959480039775
20,16,7822787,3444591,6555409,914174,1.707426739973016
30,16,2224130,3658239,6341761,1069825,1.70757314999355
40,16,353276,5689304,4310696,1303318,2.0080943559878506
50,16,1853003,5505248,4494752,1191062,2.0081870339927264
60,16,44997,7221491,2778509,1124626,2.308290157990996
70,16,0,7910786,2089214,953044,2.30857744399691
80,16,0,9985503,14497,2649,2.608871750009712
